grid rect: (886, 266) 631x523
slot 0,0: occupied=true icon-candidates [("LazyDragon_Electric", 0.8099406), ("Gorilla_Ground", 0.5572703), ("SmallArmadillo", 0.53331506)]
slot 0,1: occupied=true icon-candidates [("MysteryMask", 0.5391997), ("VenusFlytrap", 0.50706315), ("Kitsunebi_Ice", 0.4412327)]
slot 0,2: occupied=true icon-candidates [("MysteryMask", 0.5104076), ("VenusFlytrap", 0.496489), ("MonochromeQueen", 0.4214016)]
slot 0,3: occupied=true icon-candidates [("MysteryMask", 0.50782484), ("VenusFlytrap", 0.5026208), ("IceFox", 0.44616544)]
slot 0,4: occupied=true icon-candidates [("JetDragon", 0.60586315), ("Werewolf", 0.49278805), ("WhiteTiger_Ground", 0.4500681)]
slot 0,5: occupied=true icon-candidates [("ThunderBird", 0.7720643), ("RaijinDaughter_Water", 0.4742929), ("LeafMomonga", 0.4704864)]
slot 1,0: occupied=true icon-candidates [("ThunderBird", 0.6190566), ("JetDragon", 0.55615205), ("Werewolf", 0.48334932)]
slot 1,1: occupied=true icon-candidates [("ThunderBird", 0.62009716), ("JetDragon", 0.55736107), ("Werewolf", 0.48364118)]
slot 1,2: occupied=true icon-candidates [("JetDragon", 0.58780026), ("ThunderBird", 0.5608484), ("Werewolf", 0.5055168)]
slot 1,3: occupied=true icon-candidates [("GhostAnglerfish", 0.743856), ("GhostAnglerfish_Fire", 0.6970744), ("MonochromeQueen", 0.6138184)]
slot 1,4: occupied=true icon-candidates [("GhostAnglerfish", 0.698326), ("GhostAnglerfish_Fire", 0.6603255), ("MonochromeQueen", 0.62958866)]
slot 1,5: occupied=true icon-candidates [("GhostAnglerfish_Fire", 0.7172996), ("GhostAnglerfish", 0.7074973), ("MonochromeQueen", 0.61305004)]
slot 2,0: occupied=true icon-candidates [("ThunderDog", 0.74850786), ("ThunderDog_Ice", 0.47467357), ("VenusFlytrap", 0.44490486)]
slot 2,1: occupied=true icon-candidates [("DarkScorpion", 0.7312639), ("HadesBird", 0.52745306), ("YakushimaMonster003", 0.4344351)]
slot 2,2: occupied=true icon-candidates [("DarkScorpion", 0.732686), ("HadesBird", 0.5576073), ("YakushimaMonster003", 0.41816452)]
slot 2,3: occupied=true icon-candidates [("DarkScorpion", 0.7165818), ("HadesBird", 0.56155133), ("YakushimaMonster003", 0.41130593)]
slot 2,4: occupied=true icon-candidates [("DarkScorpion", 0.7135109), ("HadesBird", 0.5504023), ("YakushimaMonster003", 0.42028135)]
slot 2,5: occupied=true icon-candidates [("DarkScorpion", 0.72841966), ("HadesBird", 0.5577325), ("YakushimaMonster003", 0.41742888)]
slot 3,0: occupied=true icon-candidates [("DarkScorpion", 0.7384874), ("HadesBird", 0.5499646), ("NegativeKoala", 0.42449263)]
slot 3,1: occupied=true icon-candidates [("CactusDoll", 0.72317773), ("StuffedShark", 0.5308514), ("IceSeal_Ground", 0.51201886)]
slot 3,2: occupied=true icon-candidates [("CactusDoll", 0.70071083), ("StuffedShark", 0.57710403), ("Manticore", 0.479731)]
slot 3,3: occupied=true icon-candidates [("CactusDoll", 0.70677143), ("StuffedShark", 0.58524007), ("ElecPanda", 0.4757557)]
slot 3,4: occupied=true icon-candidates [("GrassPanda", 0.7579161), ("MonochromeQueen", 0.5946532), ("MopBaby", 0.5391898)]
slot 3,5: occupied=true icon-candidates [("GrassPanda", 0.7817574), ("MonochromeQueen", 0.58557856), ("GrassPanda_Electric", 0.52988195)]
slot 4,0: occupied=true icon-candidates [("GrassPanda_Electric", 0.7706848), ("GrassPanda", 0.6089124), ("IceSeal_Ground", 0.57614595)]
slot 4,1: occupied=true icon-candidates [("RedArmorBird", 0.80223), ("LavaGirl", 0.48755884), ("VenusFlytrap", 0.482914)]
slot 4,2: occupied=true icon-candidates [("RedArmorBird", 0.7998297), ("LavaGirl", 0.49719727), ("VenusFlytrap", 0.4834207)]
slot 4,3: occupied=true icon-candidates [("RedArmorBird", 0.79958737), ("LavaGirl", 0.5081711), ("LizardMan_Fire", 0.48510644)]
slot 4,4: occupied=true icon-candidates [("RedArmorBird", 0.80225307), ("LavaGirl", 0.48835373), ("VenusFlytrap", 0.48453307)]
slot 4,5: occupied=true icon-candidates [("VolcanoDragon", 0.57036513), ("MonochromeQueen", 0.46486986), ("SifuDog", 0.41111156)]
slot 0,0: species="LazyDragon_Electric" score=1.000 gender=Some(Male) passives=["AutoHPRegeneRate_Passive"] [ocr=117ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 0,1: species="IceFox" score=1.000 gender=Some(Female) passives=["PAL_sadist"] [ocr=106ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 0,2: species="IceFox" score=1.000 gender=Some(Female) passives=["PAL_masochist"] [ocr=106ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 0,3: species="IceFox" score=1.000 gender=Some(Male) passives=["PAL_oraora"] [ocr=106ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 0,4: species="ThunderBird" score=1.000 gender=Some(Female) passives=["SwimSpeed_up_1"] [ocr=128ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 0,5: species="ThunderBird" score=1.000 gender=Some(Male) passives=["PAL_Sanity_Down_1"] [ocr=125ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 1,0: species="ThunderBird" score=1.000 gender=Some(Male) passives=["PAL_Sanity_Down_2"] [ocr=115ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
