grid rect: (886, 266) 631x523
slot 0,0: occupied=true icon-candidates [("Boar", 0.76832247), ("VenusFlytrap", 0.59772414), ("LavaGirl", 0.5934722)]
slot 0,1: occupied=true icon-candidates [("Kitsunebi", 0.83656454), ("YakushimaMonster001_Red", 0.5999737), ("IceSeal_Ground", 0.59379435)]
slot 0,2: occupied=true icon-candidates [("Kitsunebi", 0.8198577), ("YakushimaMonster001_Red", 0.6051192), ("Suzaku", 0.59996617)]
slot 0,3: occupied=true icon-candidates [("Kitsunebi", 0.834669), ("YakushimaMonster001_Red", 0.6079785), ("Suzaku", 0.6062944)]
slot 0,4: occupied=true icon-candidates [("Kitsunebi", 0.8366857), ("YakushimaMonster001_Red", 0.5999593), ("IceSeal_Ground", 0.59355104)]
slot 0,5: occupied=true icon-candidates [("Kitsunebi_Ice", 0.544683), ("MonochromeQueen", 0.515368), ("MysteryMask", 0.50907916)]
slot 1,0: occupied=true icon-candidates [("Kitsunebi_Ice", 0.5798938), ("MonochromeQueen", 0.5339971), ("MysteryMask", 0.48503673)]
slot 1,1: occupied=true icon-candidates [("Kitsunebi_Ice", 0.5953569), ("MonochromeQueen", 0.531073), ("MysteryMask", 0.4772441)]
slot 1,2: occupied=true icon-candidates [("MonochromeQueen", 0.53342277), ("Kitsunebi_Ice", 0.5266793), ("MysteryMask", 0.47480065)]
slot 1,3: occupied=true icon-candidates [("MysteryMask", 0.63641185), ("NegativeOctopus_Neutral", 0.63089013), ("VenusFlytrap", 0.5888916)]
slot 1,4: occupied=true icon-candidates [("MysteryMask", 0.608011), ("VenusFlytrap", 0.5531953), ("MonochromeQueen", 0.5217229)]
slot 1,5: occupied=true icon-candidates [("CuteMole", 0.80782354), ("LazyCatfish_Gold", 0.6299841), ("IceSeal_Ground", 0.57936704)]
slot 2,0: occupied=true icon-candidates [("CuteMole", 0.76888317), ("LazyCatfish_Gold", 0.6198398), ("IceSeal_Ground", 0.56525904)]
slot 2,1: occupied=true icon-candidates [("CuteMole", 0.76746815), ("LazyCatfish_Gold", 0.6201421), ("IceSeal_Ground", 0.5648378)]
slot 2,2: occupied=true icon-candidates [("GrassGolem_Dark", 0.5500436), ("ThunderDog_Ice", 0.537194), ("Deer", 0.51907724)]
slot 2,3: occupied=true icon-candidates [("Deer", 0.59928054), ("GrassGolem_Dark", 0.53551465), ("ThunderDog_Ice", 0.5272792)]
slot 2,4: occupied=true icon-candidates [("Deer", 0.598211), ("GrassGolem_Dark", 0.54525363), ("ThunderDog_Ice", 0.5278882)]
slot 2,5: occupied=true icon-candidates [("Deer", 0.63454247), ("GrassGolem_Dark", 0.5416746), ("Deer_Ground", 0.5367433)]
slot 3,0: occupied=true icon-candidates [("ThiefBird", 0.5638837), ("GrassGolem_Dark", 0.55219465), ("ThunderDog_Ice", 0.51848066)]
slot 3,1: occupied=true icon-candidates [("Deer", 0.60636336), ("GrassGolem_Dark", 0.5471357), ("ThunderDog_Ice", 0.5284696)]
slot 3,2: occupied=true icon-candidates [("Deer_Ground", 0.7446239), ("GrassGolem_Dark", 0.5540185), ("DarkCrow", 0.5394371)]
slot 3,3: occupied=true icon-candidates [("Garm", 0.5493551), ("NaughtyCat", 0.51237863), ("RaijinDaughter_Water", 0.4652473)]
slot 3,4: occupied=true icon-candidates [("NaughtyCat", 0.53743434), ("Garm", 0.5017356), ("RaijinDaughter_Water", 0.4731249)]
slot 3,5: occupied=true icon-candidates [("Garm", 0.5547934), ("NaughtyCat", 0.5151515), ("RaijinDaughter_Water", 0.4653617)]
slot 4,0: occupied=true icon-candidates [("Garm", 0.5302605), ("NaughtyCat", 0.503541), ("RaijinDaughter_Water", 0.49614993)]
slot 4,1: occupied=true icon-candidates [("BerryGoat", 0.71204215), ("MonochromeQueen", 0.6971659), ("MopBaby", 0.5452844)]
slot 4,2: occupied=true icon-candidates [("BerryGoat", 0.72930914), ("MonochromeQueen", 0.6588276), ("MopBaby", 0.55914384)]
slot 4,3: occupied=true icon-candidates [("MonochromeQueen", 0.7925725), ("MopBaby", 0.7351238), ("MopKing", 0.65528405)]
slot 4,4: occupied=true icon-candidates [("MonochromeQueen", 0.80817705), ("MopBaby", 0.74091214), ("MopKing", 0.67164594)]
slot 4,5: occupied=true icon-candidates [("MonochromeQueen", 0.80214375), ("MopBaby", 0.73692465), ("MopKing", 0.66862124)]
slot 0,0: species="Boar" score=1.000 gender=Some(Female) passives=["MoveSpeed_up_2"] [ocr=121ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 0,1: species="Kitsunebi" score=1.000 gender=Some(Male) passives=["PAL_masochist"] [ocr=104ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 0,2: species="Kitsunebi" score=1.000 gender=Some(Male) passives=["AutoHPRegeneRate_Passive", "MoveSpeed_up_2"] [ocr=123ms/2 hits=0 synth=844ms/1 textlib=0.2ms/2]
slot 0,3: species="Kitsunebi" score=1.000 gender=Some(Male) passives=["CraftSpeed_up1"] [ocr=104ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 0,4: species="Kitsunebi" score=1.000 gender=Some(Female) passives=["PAL_conceited"] [ocr=104ms/2 hits=0 synth=0ms/0 textlib=0.3ms/2]
slot 0,5: species="Kitsunebi_Ice" score=1.000 gender=Some(Female) passives=["PAL_rude"] [ocr=111ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 1,0: species="Kitsunebi_Ice" score=1.000 gender=Some(Male) passives=["Nocturnal"] [ocr=111ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 1,1: species="Kitsunebi_Ice" score=1.000 gender=Some(Female) passives=["CraftSpeed_up1"] [ocr=109ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 1,2: species="Kitsunebi_Ice" score=1.000 gender=Some(Female) passives=["CraftSpeed_up2"] [ocr=118ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 1,3: species="NegativeOctopus_Neutral" score=1.000 gender=Some(Female) passives=["ElementResist_Fire_1_PAL"] [ocr=116ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 1,4: species="NegativeOctopus_Neutral" score=1.000 gender=Some(Male) passives=["PAL_rude", "MoveSpeed_up_1", "PlayerSP_DecreaseRate_Passive"] [ocr=143ms/2 hits=0 synth=0ms/0 textlib=0.5ms/4]
slot 1,5: species="CuteMole" score=1.000 gender=Some(Female) passives=["Rare", "Deffence_down1"] [ocr=110ms/2 hits=0 synth=0ms/0 textlib=0.5ms/2]
slot 2,0: species="CuteMole" score=1.000 gender=Some(Female) passives=["ElementResist_Thunder_1_PAL"] [ocr=109ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 2,1: species="CuteMole" score=1.000 gender=Some(Male) passives=["PAL_conceited"] [ocr=104ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 2,2: species="Deer" score=1.000 gender=Some(Male) passives=["Rare", "SwimSpeed_up_2", "Deffence_up1"] [ocr=118ms/2 hits=0 synth=0ms/0 textlib=0.5ms/4]
slot 2,3: species="Deer" score=1.000 gender=Some(Female) passives=["ElementBoost_Fire_1_PAL"] [ocr=107ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 2,4: species="Deer" score=1.000 gender=Some(Female) passives=["PAL_masochist"] [ocr=107ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 2,5: species="Deer" score=1.000 gender=Some(Female) passives=["PAL_Sanity_Down_2"] [ocr=117ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 3,0: species="Deer" score=1.000 gender=Some(Male) passives=["ElementBoost_Aqua_1_PAL"] [ocr=110ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 3,1: species="Deer" score=1.000 gender=Some(Male) passives=["Deffence_up1"] [ocr=108ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 3,2: species="Deer_Ground" score=1.000 gender=Some(Male) passives=["ElementResist_Thunder_1_PAL"] [ocr=116ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 3,3: species="Garm" score=1.000 gender=Some(Female) passives=["ElementBoost_Leaf_1_PAL"] [ocr=108ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 3,4: species="Garm" score=1.000 gender=Some(Female) passives=["PAL_CorporateSlave"] [ocr=105ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 3,5: species="Garm" score=1.000 gender=Some(Male) passives=["Deffence_up1"] [ocr=105ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 4,0: species="Garm" score=1.000 gender=Some(Male) passives=["PAL_rude"] [ocr=105ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 4,1: species="BerryGoat" score=1.000 gender=Some(Female) passives=["Deffence_up1"] [ocr=108ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 4,2: species="BerryGoat" score=1.000 gender=Some(Female) passives=["Stamina_Up_2"] [ocr=110ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 4,3: species="MopBaby" score=1.000 gender=Some(Female) passives=["TrainerMining_up1"] [ocr=123ms/2 hits=0 synth=0ms/0 textlib=0.3ms/2]
slot 4,4: species="MopBaby" score=1.000 gender=Some(Female) passives=["CraftSpeed_up2"] [ocr=131ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
slot 4,5: species="MopBaby" score=1.000 gender=Some(Male) passives=["ElementBoost_Dark_1_PAL"] [ocr=127ms/2 hits=0 synth=0ms/0 textlib=0.2ms/2]
