grid rect: (886, 266) 631x523
slot 0,0: occupied=true icon-candidates [("ColorfulBird", 0.67000514), ("Kirin", 0.45897263), ("VenusFlytrap", 0.4080089)]
slot 0,1: occupied=true icon-candidates [("Kirin", 0.7244286), ("MysteryMask", 0.45484707), ("VenusFlytrap", 0.4318156)]
slot 0,2: occupied=true icon-candidates [("SharkKid", 0.7556576), ("MonochromeQueen", 0.5333197), ("WeaselDragon", 0.45291138)]
slot 0,3: occupied=true icon-candidates [("SharkKid", 0.763408), ("MonochromeQueen", 0.5401036), ("MysteryMask", 0.46990782)]
slot 0,4: occupied=true icon-candidates [("SharkKid", 0.76466095), ("MonochromeQueen", 0.5427332), ("MysteryMask", 0.45576572)]
slot 0,5: occupied=true icon-candidates [("SharkKid", 0.75349396), ("MonochromeQueen", 0.5420995), ("MysteryMask", 0.4565272)]
slot 1,0: occupied=true icon-candidates [("SharkKid_Fire", 0.7985935), ("Kitsunebi", 0.5585786), ("YakushimaMonster001_Red", 0.5406893)]
slot 1,1: occupied=true icon-candidates [("Werewolf", 0.67353356), ("JetDragon", 0.4721114), ("SharkKid", 0.44762665)]
slot 1,2: occupied=true icon-candidates [("DarkCrow", 0.84414726), ("BirdDragon", 0.54451275), ("Bastet_Ice", 0.45667794)]
slot 1,3: occupied=true icon-candidates [("DarkCrow", 0.8556588), ("BirdDragon", 0.5398543), ("Bastet_Ice", 0.4600384)]
slot 1,4: occupied=true icon-candidates [("DarkCrow", 0.82731843), ("BirdDragon", 0.55524695), ("Bastet_Ice", 0.44501197)]
slot 1,5: occupied=true icon-candidates [("DarkCrow", 0.84434307), ("BirdDragon", 0.5448865), ("Bastet_Ice", 0.4552328)]
slot 2,0: occupied=true icon-candidates [("FlameBuffalo", 0.72320545), ("IceSeal_Ground", 0.60407335), ("GrassGolem_Dark", 0.50991887)]
slot 2,1: occupied=true icon-candidates [("FlameBuffalo", 0.70408195), ("IceSeal_Ground", 0.604556), ("VenusFlytrap", 0.5306446)]
slot 2,2: occupied=true icon-candidates [("VenusFlytrap", 0.53743285), ("MonochromeQueen", 0.5370212), ("FluffyBird", 0.46769994)]
slot 2,3: occupied=true icon-candidates [("VenusFlytrap", 0.54464257), ("MonochromeQueen", 0.5360143), ("FluffyBird", 0.50690603)]
